label,People in Labor Force (%)
2019,75.0059967
2018,74.81199646
2017,75.06300354
2016,75.3010025
2015,74.66500092
2014,74.01000214
2013,73.33200073
2012,72.61399841
2011,71.82499695
2010,70.94599915
2009,69.99299622
2008,68.93299866
2007,67.79199982
2006,66.61799622
2005,65.44599915
2004,66.77899933
2003,68.09799957
2002,69.38899994
2001,70.6289978
2000,71.8030014
1999,72.90899658
1998,73.01200104
1997,73.1230011
1996,73.2440033
1995,73.44400024
1994,73.64900208
1993,73.86199951
1992,74.06400299
1991,74.24099731
1990,74.40299988
